,Asahikawa,Kushiro,Sapporo,Sendai,Niigata,Kanazawa,Nagano,Tokyo,Shizuoka,Nagoya,Kyoto,Osaka,Matsue,Hiroshima,Kochi,Fukuoka,Kagoshima,Naha
Jan-16,71.5,202.2,88.2,126.6,23.9,57.1,142.6,201.5,216.9,186.1,152.9,161.3,54.4,126.8,59.3,154.6,87.6,75.8
Feb-16,72.3,209.8,99.3,157.7,81.3,101,154.7,160.1,200.2,184.2,152.2,170.4,105.2,134.1,106.6,184.6,142.8,83.1
Mar-16,174.8,252,164.1,193,157.6,160.4,190.9,161.9,186.9,232.7,173.3,207,164.8,197.8,160.4,210.7,198.8,106.6
Apr-16,159.3,168.9,174.9,192.3,198.5,197,200.8,149.2,147,175.5,161.5,168,177.1,182.5,160.2,170.8,120.5,125.5
May-16,231,227.3,229.5,208.1,224.5,225.9,244.2,204.9,196.7,213.7,213.6,229.7,221.1,216,224.9,214,174.6,143.2
Jun-16,136.9,113.1,157.7,151.9,193.2,176.9,171.9,139.1,139.4,154.3,114.4,148,146.5,125.4,137.7,110,98,185.7
Jul-16,189,95.9,211.1,130.5,152,190.7,180.7,143.7,187,183,159.1,214.1,177,192.5,230,201.1,218.6,253
Aug-16,212,107.3,225.3,180.3,271.9,244.1,211.2,156.5,225.9,235.7,226.9,262.6,238,257.7,285,275.8,258.1,226.4
Sep-16,134.8,111.2,155,92.2,130.5,109.9,118.4,79.4,112.2,101.5,90.6,106.2,83.8,83.3,102.8,93.4,167,141.8
Oct-16,102.4,226.1,145,178.3,134.1,142.7,142.1,119.6,125.3,143.5,128.1,148.3,108.3,110.5,113,131.9,126.5,175.6
Nov-16,58.6,166.4,89.6,141.6,106.5,115.4,113.6,132.1,147.5,168,131.4,155.5,96.8,144.4,126.5,176.8,173.2,128.4
Dec-16,65,165.9,78.8,143.2,64.4,80.6,151.2,193.7,213.7,190,142.8,155.9,90.6,125.8,125.1,173,180,112.1
Jan-17,83.1,175.1,77.2,160.7,52.5,70.3,116.2,226.7,239.3,187.4,142.3,166.7,81.2,161.1,139.5,205.6,157.1,77
Feb-17,58.3,191.4,87,157.7,72.9,81.2,164.1,193.7,215.4,186.4,119.6,144.3,103.9,158.6,152.7,186.5,175.7,79.9
Mar-17,169.8,217.2,184.1,173.4,144.2,172.9,166,190.3,201.7,216.7,159.6,186.8,163.3,178.3,169.2,203.6,160.3,102.4
Apr-17,179.3,195.9,193.2,200.9,192.7,197.2,207.4,198.8,183.3,198,177.1,199,215.1,194.4,198,183.7,170,128.6
May-17,202.2,215.3,212.4,211.4,234.1,236.9,224.4,216.9,220.1,224.5,226,245.8,234.3,256.6,253.9,233.9,215.6,112.1
Jun-17,153.5,149.9,165.8,179.7,177.9,217.2,215.2,158.8,195.3,223.4,196.2,216,218.9,203.3,194.3,183.8,138.8,107.7
Jul-17,178.7,178.7,200.8,181.8,197.7,196.5,171.4,189.1,204.4,172.9,132.6,193.7,172.3,157.9,207.5,174.7,199.3,267.2
Aug-17,144.6,97.9,184.4,57.1,171.6,192,140.7,83.7,162.4,165.6,162.2,214.8,209.8,217.3,258.2,220.6,230.3,242.1
Sep-17,164.3,166.3,183.3,184.7,190.2,188,167.1,124.4,153.6,174.1,157.7,158.4,148.4,149.2,136.6,147.2,148.7,186.1
Oct-17,128.5,176.4,152.9,96.8,75,105.3,92.6,94.7,110.4,112.5,97.1,105,110.1,122.8,122.8,123,142.9,155.8
Nov-17,56.8,184.3,94,149.9,91.6,124.8,147.4,162.7,203.4,180,158,178.9,137.4,160.5,145.4,160.8,143.5,85.6
Dec-17,41,180.4,84.8,155.4,42.1,67.2,163.8,211.1,235.7,179.5,144.4,175.2,57.6,137.6,91,194.9,145,101.5
Jan-18,67.4,176.2,88.4,158.4,54.5,51.6,127.9,206.1,227.5,194.3,132,172.7,69.8,136.1,95.9,208.2,144.1,74.9
Feb-18,96.1,198.5,115.3,195.2,83.9,105.3,159,167.3,211,185.1,166.3,186.1,123.5,161.2,130.2,183,139.7,97.9
Mar-18,120,174.1,159.1,210.5,175.1,194.2,214.5,198,183.2,232,212.6,223.7,202.9,217.5,202.4,220.5,180.5,181.6
Apr-18,193.9,187.1,184.1,183.8,175.5,194,221.7,201.8,203,221,198.5,218.4,190.2,216.4,216.6,230.8,227.7,161.3
May-18,193,179.5,205.4,183.6,164.3,182,193.1,199.3,189.1,211.2,190.5,203.7,184.3,197.2,190.6,189.9,160.8,238.4
Jun-18,148.7,142.9,160.1,173.2,189.1,189.5,198.1,163.1,169.3,190,156.1,179.3,167.7,158.1,178.9,163.3,123.3,171.7
Jul-18,162.4,77.7,177.4,163.1,262.5,289.4,257.8,227.2,208.3,241.7,219.2,235.4,256.2,257.6,250.3,198.2,200.6,179.7
Aug-18,121.3,108.6,123.4,161.8,186.1,217.8,214.2,217.4,217,239.7,199.9,260.7,245.2,273.2,282.9,228.9,235.2,203.4
Sep-18,165.6,148.8,184.4,101.6,113.9,111.8,85.5,96.7,106.9,103.8,77.6,91.7,92.1,108.3,118,118.6,152.7,174.6
Oct-18,127.2,184.4,161.4,157.5,141.6,153.1,166.9,139,175.1,179.8,170.7,198.7,152.6,179.4,172.2,203.8,194.5,151.8
Nov-18,64,159.3,106.8,159.5,95.7,130.8,170.4,151,168.8,183.5,143.9,161.9,112.6,170.6,165.7,187.9,188.4,155.9
Dec-18,44,177.5,75.8,150.2,56.6,61.2,112.8,145.3,149.5,148.5,114.5,133.3,54,105.9,91.1,131.9,103.7,85.3
Jan-19,72.4,208,102.5,171.5,51.9,77.4,136.2,222.2,221.3,190.5,120.8,147.6,91.5,164.2,140,184,155.7,97.4
Feb-19,76.8,191.6,114.1,161.8,73.1,94.3,132.5,138,143.7,161.1,109.7,123.7,83.9,129.5,124.6,156.2,105.6,78.4
Mar-19,132.5,205.8,157.3,205.4,154.2,142.6,162.7,177.3,201.8,196.1,145,161,141.8,187.5,186.6,205.9,185.6,129.8
Apr-19,236.6,230.7,223.4,211.2,173.9,179.3,196.3,194.4,204,219.1,191,210.2,171.2,210.1,191.8,216.6,198,119.2
May-19,242.4,241.1,270.8,294,312.3,310.4,280.6,229.4,232.6,267.7,247.3,268.6,286.6,268.2,262.3,239.1,195.9,150.7
Jun-19,181.5,131.8,193.1,156.4,185.2,184.3,158.3,129.5,165.6,178.5,150.3,182.5,169.9,199.5,199.9,173.4,125.3,90.7
Jul-19,139.2,84.1,185.1,102.7,172,150.5,123.2,81.1,73.4,102.1,89.5,127.6,142.9,131.4,133.4,114.6,138.7,196.2
Aug-19,148.5,105.6,164.6,144.3,244.1,228.2,214.1,187.8,210.5,220.2,181.9,212.2,186.9,172.2,152.2,154.8,161.4,191.3
Sep-19,178.8,200.3,208.5,154.7,161.9,181.1,158.7,137.6,188.7,177.2,161.9,198.9,158.4,191.2,165.3,177.9,203.2,154.2
Oct-19,142,161,158.6,135.2,122.2,115.3,117.7,112.8,122.8,147,121.5,135.8,132.7,175.2,165.8,173.4,177.3,198.8
Nov-19,60.9,208.6,121.5,162.7,104.9,140.2,167.9,170.3,193.2,205.1,181.1,193.8,143.2,188.5,169.1,191,195.6,135.7
Dec-19,42.5,174.4,88.2,156.1,76.9,92,128.6,128.6,161.7,144.1,117.3,139.3,75.9,116.3,91,147.8,128.9,123.2
Jan-20,88,184.6,93.8,134,60.7,64.3,112.5,139.8,174.4,146.6,95.4,126.2,66.7,138.6,93.2,167.1,125.4,140.2
Feb-20,117.5,202.5,99.6,140.3,74.8,93.8,145.7,196.1,190.1,184.2,124.9,138.6,105.3,156.8,135.8,199.5,159.6,133.6
Mar-20,172.8,201.8,174.2,183.5,161,160,178.4,181.9,204.5,201.1,177.2,191.6,160.5,188.8,178.2,190.6,163.6,123.1
Apr-20,170.4,205,187.3,206.8,167.6,189.5,216.6,213.4,258.7,254.9,198.1,227.8,204.2,231.8,231.7,265.6,233.3,118.2
May-20,214.2,192.8,205.3,190.4,206.2,200.3,221.5,175.5,203,213.6,170.1,221.3,203.8,209.6,217.5,219.7,177.5,106
Jun-20,123.2,123.4,142.4,179.4,205.6,198,186.8,136.3,157.4,164.2,151.9,175,200.4,177.1,184.9,150.4,116.5,195.9
Jul-20,201,88,200,49.5,75.3,69.5,67.3,47.7,56.1,78.2,63.6,95.2,72.4,84.2,86.5,120.3,123.8,214.9
Aug-20,171.8,139.1,189.5,207.4,227.3,252,241,254.7,282.8,265.5,236.6,296.3,247.5,261.9,252.2,269.5,265.4,184.8
Sep-20,136,109.3,140.1,91.9,167.3,161,146.7,105.7,144.4,148.5,130.7,134.6,144.8,158.8,168.2,135.4,115.6,152.5
Oct-20,117,186.7,152.9,125.8,120.5,153.6,113.9,113.9,160.7,178.2,164,182.8,160.9,211.3,211,202.5,219.4,203.1
Nov-20,56.8,167.6,84,166.4,96.7,136.4,168.1,156.6,198.1,202.5,165.7,173.2,132.2,190.6,150.1,175.3,170.9,119
Dec-20,42.2,214.9,95.2,121.8,45.5,57.4,150.6,167.9,214.9,178.3,173.7,187,82.1,157.6,131.2,214.2,170.4,45.9
